like	418.7
life	307.2
long	230.2
little	199.3
law	158.6
left	156.7
less	146.3
large	145.2
last	141.4
later	134.2
level	128.5
look	126.8
let	126.5
love	115.4
line	111.4
local	107.5
least	107.1
light	105.4
language	103.6
low	93.79
land	92.68
London	91.43
looked	90.88
la	76.85
learning	72.90
living	72.24
late	70.30
likely	70.19
looking	68.90
lower	65.28
live	64.48
Lord	64.00
longer	62.42
l	61.39
lost	59.98
leave	59.45
levels	58.81
list	57.92
letter	56.17
loss	55.83
L.	55.43
legal	54.16
lead	53.37
led	53.34
lot	51.11
limited	50.81
lives	50.69
lines	50.03
literature	46.10
learn	44.98
length	43.30
labor	42.91
laws	42.20
larger	41.61
lack	41.47
library	37.96
lived	37.41
latter	36.61
learned	36.51
leading	35.28
letters	34.95
leaders	34.38
lay	33.36
location	31.82
lady	31.82
leaving	29.34
le	29.25
labour	28.62
leadership	28.49
leader	26.44
looks	26.32
located	26.17
layer	26.02
leaves	25.67
lake	24.91
literary	23.91
largely	23.45
loved	23.37
link	23.22
limit	22.31
leads	22.20
limits	21.31
laid	20.57
Latin	20.52
lies	20.48
lose	20.27
lie	19.89
l'	19.74
largest	19.48
logic	19.18
listen	19.11
los	18.88
languages	18.85
load	18.82
linked	18.54
Lee	18.34
legs	18.19
liberal	17.81
linear	17.63
legislation	17.53
Louis	17.51
les	17.50
lips	16.89
listed	16.25
liquid	15.90
links	15.73
landscape	15.23
laboratory	15.21
lying	15.12
laughed	14.80
liability	14.72
liberty	14.72
listening	14.68
liked	14.42
lands	14.06
logical	13.66
limitations	13.34
league	13.30
leg	13.26
losses	12.74
lawyer	12.74
lesson	12.67
Lewis	12.57
ll	12.54
lights	12.51
log	12.39
loan	12.29
layers	12.23
lessons	12.19
lists	12.16
Lincoln	11.63
lunch	11.48
liver	11.33
laugh	11.01
loop	10.97
linguistic	10.91
loose	10.88
losing	10.76
locations	10.72
likewise	10.69
legislative	10.48
lifted	10.34
loud	10.30
ladies	10.12
label	10.07
lots	9.961
lateral	9.827
Lawrence	9.792
laser	9.626
literally	9.563
lieutenant	9.470
loving	9.457
latest	9.288
legitimate	9.258
lowest	9.111
loans	9.032
literacy	8.869
lawyers	8.703
listened	8.601
lifetime	8.542
leaf	8.507
lift	8.465
locked	8.416
lung	8.407
Luke	8.381
leaned	8.367
luck	8.318
Li	8.118
laughing	8.045
listing	7.974
lane	7.940
license	7.865
lovely	7.858
ln	7.833
likelihood	7.827
lesions	7.679
liberation	7.671
las	7.638
loyalty	7.604
lover	7.596
lucky	7.589
launched	7.527
letting	7.511
libraries	7.481
laughter	7.479
loaded	7.453
lock	7.435
lecture	7.386
lit	7.310
leather	7.220
lens	7.208
landing	7.181
lt	7.133
lesser	7.087
legacy	7.038
legislature	6.828
loves	6.757
Ltd	6.667
loading	6.638
lacking	6.605
landed	6.567
liable	6.531
lab	6.449
lighting	6.410
lease	6.364
launch	6.235
limiting	6.218
lifestyle	6.193
limitation	6.169
leisure	6.145
locate	6.123
legend	6.105
lectures	6.094
layout	6.041
labeled	6.039
lakes	5.990
lion	5.936
learners	5.916
lo	5.873
lasting	5.853
Laura	5.826
Ltd.	5.754
lodge	5.639
lowered	5.563
likes	5.554
legitimacy	5.550
lean	5.533
lamp	5.470
linking	5.457
lonely	5.430
lightly	5.373
lined	5.342
litigation	5.340
lip	5.319
Lucy	5.318
labels	5.298
locally	5.255
Louisiana	5.190
lungs	5.157
lords	5.148
Luther	5.110
lasted	5.085
Linda	5.083
legally	5.076
loyal	5.055
Larry	4.987
Leo	4.848
laying	4.825
leaning	4.821
longitudinal	4.808
luxury	4.771
liabilities	4.771
lesbian	4.690
loads	4.661
lamb	4.628
lightning	4.600
lacked	4.578
lovers	4.571
lap	4.499
Lloyd	4.471
Lisa	4.367
lets	4.359
limbs	4.354
lifting	4.262
ladder	4.261
literal	4.249
limb	4.200
lately	4.130
lengths	4.087
lesion	3.992
laden	3.917
lest	3.898
lively	3.878
liberalism	3.823
Leonard	3.801
livestock	3.709
licensing	3.707
lend	3.698
lobby	3.689
leap	3.656
loses	3.653
lemon	3.635
lengthy	3.616
lacks	3.612
Louise	3.595
lighter	3.571
lawn	3.567
Lily	3.563
logs	3.546
landlord	3.516
Locke	3.463
lf	3.463
longing	3.452
lending	3.447
lowering	3.444
Leon	3.441
learner	3.428
loudly	3.407
lime	3.387
laboratories	3.361
localized	3.359
liquor	3.354
locus	3.346
latent	3.255
licensed	3.243
linguistics	3.230
lattice	3.215
levy	3.198
Linux	3.197
landscapes	3.161
liberals	3.160
longest	3.151
lipid	3.138
liberties	3.125
lad	3.070
Leslie	3.048
linkage	3.025
Lett	3.004
lid	2.998
listener	2.954
lent	2.925
linen	2.917
latitude	2.907
listeners	2.903
lamps	2.889
lexical	2.881
logically	2.873
loops	2.857
Lebanon	2.853
learnt	2.850
Lucas	2.839
lining	2.792
leverage	2.772
liberalization	2.765
lust	2.757
logging	2.755
lone	2.744
legends	2.733
Luis	2.729
Liverpool	2.722
Liu	2.701
loosely	2.698
laundry	2.694
lazy	2.694
Lynn	2.685
Lang	2.669
lifelong	2.658
lenses	2.658
learns	2.641
Latino	2.630
lineage	2.613
lymph	2.585
laborers	2.572
loneliness	2.531
locks	2.525
legendary	2.521
lobe	2.483
locality	2.469
lump	2.469
litde	2.445
lighted	2.445
Lin	2.435
lawful	2.431
Levi	2.419
localization	2.418
labeling	2.410
limestone	2.390
licence	2.374
Lynch	2.344
legislators	2.333
lofty	2.323
lace	2.318
louder	2.310
Lanka	2.302
LAN	2.292
lyrics	2.288
linkages	2.272
Lou	2.268
lag	2.263
logistics	2.258
landmark	2.253
lethal	2.250
lions	2.243
Lopez	2.210
LLC	2.185
lance	2.172
Lu	2.168
lumber	2.167
lastly	2.148
locating	2.142
Logan	2.138
licenses	2.120
lied	2.108
locals	2.094
liquids	2.069
liquidity	2.067
lays	2.063
liberated	2.056
lb	2.049
launching	2.032
lecturer	2.030
likeness	2.023
LC	2.022
longed	2.017
Lenin	2.015
ligament	2.012
lawsuit	2.004
lender	1.991
laughs	1.981
lever	1.979
lounge	1.972
lasts	1.960
litter	1.959
Leipzig	1.956
lordship	1.950
Lydia	1.941
logo	1.932
leaped	1.929
liking	1.912
livelihood	1.906
leagues	1.902
lobbying	1.893
lotus	1.891
lodging	1.889
liturgy	1.885
Leiden	1.871
Lexington	1.866
leakage	1.854
legion	1.847
larvae	1.846
lingering	1.843
lumbar	1.840
ls	1.836
labourers	1.828
ligand	1.822
leak	1.816
landowners	1.813
Lutheran	1.812
Ludwig	1.808
Levine	1.804
labelled	1.802
lymphocytes	1.796
Lancet	1.790
Liz	1.781
Lancaster	1.779
leukemia	1.769
luggage	1.768
lunar	1.768
legislatures	1.762
locking	1.756
lesbians	1.755
liaison	1.744
liturgical	1.737
L2	1.731
lantern	1.718
Longman	1.709
Lambert	1.707
librarian	1.697
Lt.	1.694
Lowell	1.687
Lester	1.685
