even	346.3
each	298.7
example	194.4
every	169.2
end	158.6
et	153.5
early	135.0
economic	108.1
education	104.3
eyes	103.6
either	103.2
experience	100.5
enough	98.81
ever	98.27
effect	95.83
e	95.04
especially	84.36
evidence	81.64
English	79.87
effects	75.09
energy	73.54
E.	63.17
everything	61.13
environment	57.77
European	57.47
earth	56.93
ed	56.61
east	56.57
events	55.06
else	54.88
earlier	53.65
e.g.	52.56
effective	52.32
established	51.51
elements	49.05
England	48.93
Europe	48.37
expression	47.67
expected	47.60
except	44.27
easy	43.59
event	43.43
entire	43.25
everyone	41.61
economy	41.58
environmental	41.54
equal	40.65
eye	39.94
exchange	39.59
exercise	39.36
easily	38.97
examples	38.77
extent	38.54
existence	36.63
effort	36.43
explain	36.22
efforts	35.58
eight	35.11
essential	34.28
etc.	32.52
employment	32.30
existing	31.90
external	31.86
element	31.82
enter	31.41
employees	31.03
evening	31.00
expressed	30.29
experiences	30.13
exactly	29.79
evaluation	29.48
equipment	29.13
educational	29.05
exist	28.84
error	28.69
explained	28.34
en	28.13
eventually	27.76
entered	27.41
edge	27.11
ensure	26.46
equation	25.99
expect	25.46
entirely	25.14
eastern	24.93
eat	24.73
evil	24.46
emotional	24.39
extended	24.27
enemy	24.15
establish	23.62
experienced	23.46
eds	23.45
employed	23.43
el	23.41
edition	22.93
express	22.69
examination	22.09
entry	21.94
evolution	21.92
ethnic	21.82
equally	21.46
emphasis	21.45
extremely	21.39
estate	21.37
employee	21.34
election	21.10
electronic	21.06
empire	21.03
executive	20.92
explanation	20.91
engineering	20.17
experimental	19.96
empty	19.47
excellent	19.41
ends	19.35
era	19.26
exposure	18.97
exists	18.91
editor	18.89
estimated	18.79
escape	18.77
ended	18.66
efficiency	18.51
extra	18.45
ed.	18.40
engaged	18.20
enjoy	17.98
easier	17.67
extreme	17.63
equivalent	17.54
effectively	17.53
extensive	17.50
experiment	17.40
eating	17.07
examine	17.00
experiments	17.00
Edward	16.91
expansion	16.84
exception	16.64
economics	16.59
extension	16.46
edited	16.43
evident	16.37
efficient	16.35
establishment	16.24
elsewhere	15.98
enterprise	15.76
expectations	15.62
essentially	15.56
errors	15.52
engine	15.38
estimate	15.29
ethics	15.27
exposed	15.23
ethical	15.16
examined	15.03
entitled	14.78
eds.	14.76
Elizabeth	14.71
ear	14.56
electric	14.55
encourage	14.47
enable	14.37
employer	14.22
emotions	14.11
essay	14.03
EU	13.94
emergency	13.93
empirical	13.69
