not	2339
no	639.9
new	552.4
now	327.1
number	198.8
never	184.6
need	183.4
national	137.2
name	130.2
next	124.1
nature	111.4
nothing	104.0
night	95.73
non	80.71
necessary	79.58
north	78.94
natural	75.62
note	72.38
needs	70.85
needed	65.90
near	64.21
nor	63.73
n	63.72
network	53.15
normal	48.59
news	44.19
nation	43.67
numbers	42.23
notes	40.65
negative	40.26
neither	39.13
No.	39.12
nearly	38.10
n.	37.01
noted	36.29
none	35.28
names	34.68
nations	32.90
notice	32.65
November	31.04
•	30.21
native	29.00
named	28.39
northern	27.77
net	26.71
novel	25.29
nevertheless	24.17
numerous	23.35
nine	23.20
notion	22.55
narrative	22.51
networks	21.77
necessarily	21.01
nuclear	20.45
neck	19.69
noise	18.99
nineteenth	18.84
nice	18.72
narrow	18.26
§	17.65
noticed	16.91
normally	16.89
naturally	15.89
newspaper	15.52
nursing	15.27
nodded	14.65
°	14.32
nerve	13.77
necessity	13.76
nose	13.31
nurse	13.13
namely	13.09
nervous	13.00
nobody	12.78
newly	12.21
node	11.99
noble	11.16
navy	10.99
newspapers	10.91
nearby	10.81
neighborhood	10.13
norms	10.07
negotiations	9.842
neutral	9.775
na	9.345
nonetheless	9.209
nodes	9.179
NY	8.956
©	8.309
naval	8.296
nurses	8.127
Netherlands	8.082
nationalism	7.924
neighbors	7.903
Negro	7.824
nights	7.660
notions	7.601
novels	7.512
naked	7.463
Nelson	7.429
numerical	7.193
nutrition	6.871
neural	6.860
narratives	6.852
ne	6.787
nm	6.694
NJ	6.694
nowhere	6.635
nitrogen	6.539
Norman	6.505
notably	6.420
nearest	6.292
Nancy	6.244
neglect	6.213
needle	6.183
nucleus	6.076
neighbor	6.018
neurons	6.012
negotiation	5.813
Nazi	5.810
Nick	5.785
notable	5.677
noting	5.658
nationalist	5.656
neglected	5.628
nerves	5.621
norm	5.562
Nigeria	5.433
notwithstanding	5.429
normative	5.405
northwest	5.361
Nicholas	5.319
narrator	5.285
Napoleon	5.280
navigation	5.184
natives	5.093
Newton	5.080
»	5.056
null	5.035
nominal	4.995
neo	4.976
noon	4.861
Nixon	4.689
«	4.677
ninth	4.662
nest	4.659
negotiate	4.592
■	4.294
NATO	4.259
noun	4.221
ninety	4.143
Norway	4.133
naming	4.116
northeast	4.115
Norton	4.029
nearer	4.028
£	3.979
nutrients	3.974
NGOs	3.970
negotiating	3.915
nuts	3.914
nonlinear	3.907
Nietzsche	3.878
ni	3.850
negotiated	3.837
neighboring	3.828
networking	3.817
Nov.	3.767
notation	3.646
nonsense	3.640
nutritional	3.616
neat	3.566
neighbours	3.467
nutrient	3.447
numbered	3.442
nationality	3.401
neighborhoods	3.378
negligence	3.350
®	3.295
nasal	3.285
nuclei	3.275
nineteen	3.257
nails	3.248
neighbourhood	3.241
nail	3.208
Nathan	3.194
negatively	3.192
newer	3.158
negroes	3.141
nonprofit	3.137
Newman	3.081
nobility	3.075
nausea	3.013
naive	2.998
